Unique Investment Identifier,Business Case ID,Agency Code,Agency Name,Investment Title,Rebaseline Date,Rebaseline Option,Comment,Project ID,Area of Change,Total Planned Cost of all Activities,Lifecycle Costs (SoF),Timeframe of Investment,(Legacy) Total Cost,(Legacy) Planned Completion Date,Updated Date,Updated Time,Baseline ID
"005-000000027","251","005","Department of Agriculture","Store Tracking and Redemption System (STARS)","04/28/2010","Rebaseline - other","Not a real rebaseline. Several steady state tasks added for out years.","","","","","","102.254846","2017-09-30","09/17/2010","14:18:11","1489"
"005-000000027","251","005","Department of Agriculture","Store Tracking and Redemption System (STARS)","09/17/2010","Rebaseline - other","Changes required.","","","","","","102.354846","2017-09-30","09/17/2010","16:06:23","1569"
"005-000000027","251","005","Department of Agriculture","Store Tracking and Redemption System (STARS)","09/17/2010","Rebaseline - other","Minor changes were required.","","","","","","102.454846","2017-09-30","09/17/2010","16:15:04","1570"
"005-000000027","251","005","Department of Agriculture","Store Tracking and Redemption System (STARS)","09/17/2010","Rebaseline - other","Minor changes were required.","","","","","","102.554846","2017-09-30","09/17/2010","16:21:44","1573"
"005-000000027","251","005","Department of Agriculture","Store Tracking and Redemption System (STARS)","09/17/2010","Rebaseline - other","Minor changes required","","","","","","102.654846","2017-09-30","09/17/2010","16:59:31","1593"
"005-000000027","251","005","Department of Agriculture","Store Tracking and Redemption System (STARS)","10/27/2010","Rebaseline - other","Error corrected.","","","","","","110.113395","2018-09-30","10/27/2010","17:07:04","2103"
"005-000000027","251","005","Department of Agriculture","Store Tracking and Redemption System (STARS)","10/27/2010","Correction","Errors corrected.","","","","","","109.956395","2018-09-30","10/29/2010","08:08:00","2157"
"005-000000027","251","005","Department of Agriculture","Store Tracking and Redemption System (STARS)","01/07/2011","Correction","Minor changes.","","","","","","107.146395","2018-09-30","01/07/2011","08:32:49","2611"
"005-000000027","251","005","Department of Agriculture","Store Tracking and Redemption System (STARS)","01/11/2011","Rebaseline - other","Technical clean up in order to be able to submit to the ITDB without validation errors. Not an official Department approved rebaseline.","","","","","","105.050020","2018-09-30","02/16/2011","15:56:59","2832"
"005-000000027","251","005","Department of Agriculture","Store Tracking and Redemption System (STARS)","02/24/2011","Rebaseline - other","Rebaselined to address ITDB validation report errors.","","","","","","105.050020","2018-09-30","02/25/2011","15:44:48","3427"
"005-000000027","251","005","Department of Agriculture","Store Tracking and Redemption System (STARS)","02/26/2011","Correction","Minor corrections to address ITDB submission issues.","","","","","","105.050020","2018-09-30","02/27/2011","11:54:48","3537"
"005-000000027","251","005","Department of Agriculture","Store Tracking and Redemption System (STARS)","03/30/2011","Correction","Correcting errors to address ITDB submission issues.","","","","","","105.050020","2018-09-30","03/30/2011","21:34:39","3844"
"005-000000027","251","005","Department of Agriculture","Store Tracking and Redemption System (STARS)","03/30/2011","Correction","Correcting errors to address ITDB submission issues.","","","","","","105.050020","2018-09-30","03/30/2011","21:42:12","3851"
"005-000000027","251","005","Department of Agriculture","Store Tracking and Redemption System (STARS)","03/30/2011","Correction","Correcting errors to address ITDB submission issues.","","","","","","105.050020","2018-09-30","03/30/2011","22:45:38","3856"
"005-000000027","251","005","Department of Agriculture","Store Tracking and Redemption System (STARS)","04/04/2011","Correction","Corrected to address ITDB submission issue.","","","","","","105.050020","2018-09-30","04/04/2011","10:56:04","3926"
"005-000000027","251","005","Department of Agriculture","Store Tracking and Redemption System (STARS)","06/29/2012","Rebaseline - other","An update was made by the PM to the investment.  AGS","","Metrics","","","2000-2019","","","07/02/2012","09:27:14","8669"
"005-000000028","250","005","Department of Agriculture","ROSS - Resource Ordering and Status System","08/31/2010","External - Direct Mandate","3/15/2010","","","","","","81.126919","2015-09-30","08/31/2010","13:58:25","1085"
"005-000000028","250","005","Department of Agriculture","ROSS - Resource Ordering and Status System","10/28/2010","Replan - planned change with minimal change in overall scope, cost or schedule objectives","Minimal changes to baseline.","","","","","","80.871127","2015-09-30","10/29/2010","08:52:23","2165"
"005-000000028","250","005","Department of Agriculture","ROSS - Resource Ordering and Status System","11/30/2010","Rebaseline - other","Minor changes.","","","","","","86.139674","2015-09-30","02/16/2011","16:02:57","2833"
"005-000000028","250","005","Department of Agriculture","ROSS - Resource Ordering and Status System","02/26/2011","Correction","Minor corrections to address ITDB submission issues.","","","","","","91.100925","2015-09-30","02/27/2011","11:54:47","3536"
"005-000002276","369","005","Department of Agriculture","Enterprise Human Capital Management (EHCM)","02/08/2011","Rebaseline - other","Performance Goals were changed.","","","","","","42.225275","2013-09-30","02/16/2011","21:52:05","2841"
"005-000002276","369","005","Department of Agriculture","Enterprise Human Capital Management (EHCM)","02/24/2011","Rebaseline - other","Changes were required.","","","","","","42.225275","2013-09-30","02/24/2011","11:07:47","3166"
"005-000002276","369","005","Department of Agriculture","Enterprise Human Capital Management (EHCM)","02/24/2011","Rebaseline - other","Updated performance table.","","","","","","42.225275","2013-09-30","02/25/2011","10:38:52","3344"
"005-000002276","369","005","Department of Agriculture","Enterprise Human Capital Management (EHCM)","02/25/2011","Rebaseline - other","Performance updated.","","","","","","42.225275","2013-09-30","02/25/2011","15:44:47","3422"
"005-000002276","369","005","Department of Agriculture","Enterprise Human Capital Management (EHCM)","02/25/2011","Rebaseline - other","Performance table corrections.","","","","","","42.225275","2013-09-30","02/26/2011","10:00:52","3492"
"005-000002276","369","005","Department of Agriculture","Enterprise Human Capital Management (EHCM)","02/25/2011","Rebaseline - other","Performance metrics corrected.","","","","","","42.225275","2013-09-30","02/26/2011","13:59:00","3514"
"005-000002276","369","005","Department of Agriculture","Enterprise Human Capital Management (EHCM)","02/25/2011","Correction","Completed milestone corrected.","","","","","","42.225275","2013-09-30","02/27/2011","11:52:53","3534"
"005-000002276","369","005","Department of Agriculture","Enterprise Human Capital Management (EHCM)","02/27/2011","Correction","Minor corrections to address ITDB submission errors.","","","","","","42.225275","2013-09-30","02/27/2011","14:56:41","3548"
"005-000002276","369","005","Department of Agriculture","Enterprise Human Capital Management (EHCM)","04/21/2011","Correction","Completed milestones were corrected.","","","","","","28.751287","2013-09-30","04/29/2011","08:52:24","4001"
"005-000002276","369","005","Department of Agriculture","Enterprise Human Capital Management (EHCM)","10/24/2011","Replan - planned change with minimal change in overall scope, cost or schedule objectives","Investment is being revised in preparation for transition to the One USDA HR Investment.","1738,1739","Projects, Activities","","","2009-2012","","","10/28/2011","09:44:58","6887"
"005-000002276","369","005","Department of Agriculture","Enterprise Human Capital Management (EHCM)","06/29/2012","Rebaseline - other","Investment is being revised in preparation for transitions. AGS","1738,1739","Projects, Activities","","","2009-2014","","","06/30/2012","18:25:47","8645"
"005-000002276","369","005","Department of Agriculture","Enterprise Human Capital Management (EHCM)","06/29/2012","Rebaseline - other","Investment is being revised in preparation for transitions. AGS","","","","","2009-2014","","","06/30/2012","18:32:06","8659"
"005-000002276","369","005","Department of Agriculture","Enterprise Human Capital Management (EHCM)","06/29/2012","Rebaseline - other","Investment is being revised in preparation for transitions. AGS","","SoF","","","2009-2018","","","08/01/2012","20:07:03","8921"
"005-000000093","215","005","Department of Agriculture","ATSA - Automated Timber Sale Accounting","04/29/2010","Internal - Other","This is not a real rebaselining.  Several operations and maintenance tasks were added to the out years.","","","","","","8.499000","2012-09-30","04/30/2010","07:53:37","571"
"005-000000093","215","005","Department of Agriculture","ATSA - Automated Timber Sale Accounting","04/29/2010","Internal - Other","This is not a real rebaselining.  Several operations and maintenance tasks were added to the out years.","","","","","","8.499000","2012-09-30","06/01/2010","11:40:20","676"
"005-000000093","215","005","Department of Agriculture","ATSA - Automated Timber Sale Accounting","04/29/2010","Internal - Other","This is not a real rebaselining.  Several operations and maintenance tasks were added to the out years.","","","","","","8.499000","2012-09-30","06/01/2010","13:33:36","682"
"005-000000093","215","005","Department of Agriculture","ATSA - Automated Timber Sale Accounting","04/29/2010","Internal - Other","This is not a real rebaselining.  Several operations and maintenance tasks were added to the out years.","","","","","","8.499000","2012-09-30","06/01/2010","15:39:07","703"
"005-000000093","215","005","Department of Agriculture","ATSA - Automated Timber Sale Accounting","04/29/2010","Internal - Other","This is not a real rebaselining.  Several operations and maintenance tasks were added to the out years.","","","","","","8.499000","2012-09-30","06/01/2010","15:56:51","704"
"005-000000093","215","005","Department of Agriculture","ATSA - Automated Timber Sale Accounting","04/29/2010","Internal - Other","This is not a real rebaselining.  Several operations and maintenance tasks were added to the out years.","","","","","","8.499000","2012-09-30","06/01/2010","16:04:31","705"
