"Unique Investment Identifier","Business Case ID","Agency Code","Agency Name","Investment Title","Performance Metric ID","Agency Performance Metric ID","Metric Description","Unit of Measure","Performance Measurement Category Mapping","Target 2015","Agency Baseline Capability","Target 2016","Measurement Condition","Reporting Frequency","Agency Strategic Objective / Agency Priority Goal","Latest Performance Metric Actual Id","Latest Agency Performance Metric Actual Id","Latest Actual Result","Latest Actual Status","Latest Actual Result Met/Not Met (derived)","Latest Actual Result Comment","Latest Actual Result Date","Is Closed?","Metric Updated Date","Metric Updated Time"
007-000000594,26,"	007","Department of Defense","DEFENSE INFORMATION SYSTEM FOR SECURITY",24562,OP0594-6006,"Not Applicable 7.",None,"2 - Strategic and Business Results",0,,0,"Over target",Monthly,"72591 - Ensure that we maintain a highly-skilled military and civilian workforce shaped for today's and tomorrow's needs.",,,,,,,,n,2016-07-07,14:41:36
007-000000595,27,"	007","Department of Defense","DEFENSE INFORMATION SYSTEM NETWORK",23407,OP0595-5014,"To Remove ==  Added at the end of FY16 collection to satisfy OMB validation to have 3 category 1.",xx,"1 - Customer Satisfaction (Results)",0,,0,"Over target",Annual,"440 - Improve energy performance.",,,,,,,,y,2016-03-03,13:47:08
007-000000613,28,"	007","Department of Defense","Defense Medical Logistics Standard Support",5151,OP0613-4104,"Percentage of System Uptime for DMLSS.",Percentage,"1 - Customer Satisfaction (Results)",98.5,,98.5,"Over target",Monthly,"72761 - Expand core capabilities in support of military interest",168262,OP0613-4104-145,99.9,,Met,,2016-05-31,n,2016-07-07,14:41:37
007-000000613,28,"	007","Department of Defense","Defense Medical Logistics Standard Support",5153,OP0613-4105,"Percentage of System Uptime for Online Portal Medical Materiel Directorate. (DMM online).",Percentage,"2 - Strategic and Business Results",98.5,,98.5,"Over target",Monthly,"72761 - Expand core capabilities in support of military interest",168264,OP0613-4105-145,98.92,,Met,,2016-05-31,n,2016-07-07,14:41:37
007-000000613,28,"	007","Department of Defense","Defense Medical Logistics Standard Support",5155,OP0613-4101,"Annual return Ration = price discounts of medical purchases made via electronic commerce / total annual DMLSS program funding for sustainment

Increase the annual return ration 2% per year over baseline to ratio of 5.39:1.","Numeric ratio","3 - Financial Performance",5.39,,4.08,"Over target",Annual,"72761 - Expand core capabilities in support of military interest",153210,OP0613-4101-105,5.26,,"Not Met","Decreasing OPTEMPO results in decreasing Medical Materiel purchases.",2015-09-30,n,2016-07-07,14:41:37
007-000000613,28,"	007","Department of Defense","Defense Medical Logistics Standard Support",6967,OP0613-411,"Average percentage of data from external sources processed within 24 hours for use by JMAR users.",Percentage,"2 - Strategic and Business Results",90,,90,"Over target",Quarterly,"72761 - Expand core capabilities in support of military interest",164131,OP0613-411-114,100,,Met,,2016-03-31,n,2016-07-07,14:41:37
007-000000613,28,"	007","Department of Defense","Defense Medical Logistics Standard Support",9569,OP0613-5001,"Percentage of returned trainee questionnaires that reported web-based training met or exceeded expectations.",Percentage,"2 - Strategic and Business Results",75,,75,"Over target",Annual,"72761 - Expand core capabilities in support of military interest",153211,OP0613-5001-103,80,,Met,,2015-09-30,n,2016-07-07,14:41:37
007-000000613,28,"	007","Department of Defense","Defense Medical Logistics Standard Support",22347,OP0613-5002,"The Percent of dollar value of Wholesale transactions that used the preferred transaction method divided by the total dollar value of transactions.",Percent,"2 - Strategic and Business Results",94,,94,"Over target",Annual,"72761 - Expand core capabilities in support of military interest",153209,OP0613-5002-101,94,,Met,,2015-09-30,n,2016-07-07,14:41:37
026-000002411,32,"	026","National Aeronautics and Space Administration","Integrated Collaborative Environment",1265,"	61680","Production Availability.","Uptime %","2 - Strategic and Business Results",95,,95,"Over target",Monthly,"3336 - Provide secure, effective and affordable IT for NASA.",165002,,100,,Met,"April 2016 actuals.",2016-05-20,n,2016-05-25,18:54:54
026-000002411,32,"	026","National Aeronautics and Space Administration","Integrated Collaborative Environment",1266,"	61678","Customer Satisfaction on Ticket Closure.","Numeric Scale of 1-5","1 - Customer Satisfaction (Results)",4.2,,4.2,"Over target",Monthly,"3336 - Provide secure, effective and affordable IT for NASA.",164996,,5,,Met,"April 2016 actuals.",2016-05-20,n,2016-05-25,18:54:54
026-000002411,32,"	026","National Aeronautics and Space Administration","Integrated Collaborative Environment",1267,"	61681","Application Enhancement.","% Delivered","1 - Customer Satisfaction (Results)",95,,,"Over target",Monthly,,142843,,100,,Met,"June 2015 Actuals",2015-07-06,y,2016-05-25,18:54:54
026-000002411,32,"	026","National Aeronautics and Space Administration","Integrated Collaborative Environment",1270,"	61693","Application Security Compliance.","% Compliant with Security Policies","1 - Customer Satisfaction (Results)",95,,,"Over target",Monthly,,142815,,100,,Met,"May 2015 Actuals",2015-06-06,y,2016-05-25,18:54:54
026-000002411,32,"	026","National Aeronautics and Space Administration","Integrated Collaborative Environment",1271,"	61692","Incident Resolution - Severity 1 w/4hours.","% of Resolving Incidents within 4 hours","1 - Customer Satisfaction (Results)",95,,95,"Over target",Monthly,"3336 - Provide secure, effective and affordable IT for NASA.",164988,,100,,Met,"April 2006 actuals.",2016-05-20,n,2016-05-25,18:54:54
026-000002411,32,"	026","National Aeronautics and Space Administration","Integrated Collaborative Environment",20739,,"Financials plan on target",%,"3 - Financial Performance",96,,96,"Under target",Monthly,"3336 - Provide secure, effective and affordable IT for NASA.",165035,,100,,"Not Met","April 2016 actuals.",2016-05-25,n,2016-05-25,18:54:54
026-000002411,32,"	026","National Aeronautics and Space Administration","Integrated Collaborative Environment",23831,,"Application Enhancements.",%,"2 - Strategic and Business Results",0,0,95,"Over target",Monthly,"3336 - Provide secure, effective and affordable IT for NASA.",165042,,98,,Met,"April 2016 actuals.",2016-05-20,n,2016-05-25,18:54:54
026-000002411,32,"	026","National Aeronautics and Space Administration","Integrated Collaborative Environment",23832,,"Compliance with Application Security.",%,"2 - Strategic and Business Results",0,0,95,"Over target",Monthly,"3336 - Provide secure, effective and affordable IT for NASA.",165028,,100,,Met,"May 2016 actuals.",2016-05-20,n,2016-05-25,18:54:54
026-000001501,37,"	026","National Aeronautics and Space Administration","NASA Earth Observing System Data Information System (EOSDIS)",1362,"	60752","EOSDIS average American Customer Satisfaction Index (ACSI) score",Index,"1 - Customer Satisfaction (Results)",66,,64,"Over target",Annual,"3340 - Understand our home planet.",112083,,78,,Met,"Annual actual.",2014-10-17,n,2016-08-22,13:28:26
026-000001501,37,"	026","National Aeronautics and Space Administration","NASA Earth Observing System Data Information System (EOSDIS)",1363,"	60755","Number of distinct products distributed in the FY",Count,"2 - Strategic and Business Results",4000,,6500,"Over target",Semi-Annual,"3340 - Understand our home planet.",164243,,10233,,Met,"March Semi-Annual",2016-04-07,n,2016-08-22,13:28:26
026-000001501,37,"	026","National Aeronautics and Space Administration","NASA Earth Observing System Data Information System (EOSDIS)",1364,"	60754","Number of products distributed",Count,"1 - Customer Satisfaction (Results)",40000000,,,"Over target",Monthly,,146949,,107856683,,Met,"July 2015 actual.",2015-07-31,n,2016-08-22,13:28:26
026-000001501,37,"	026","National Aeronautics and Space Administration","NASA Earth Observing System Data Information System (EOSDIS)",1365,"	60756","Cost per Earth science data product (in the form of computer files) distributed to users","Dollar per product","3 - Financial Performance",0.304,,0.19,"Under target",Semi-Annual,"3340 - Understand our home planet.",164244,,0.012,,Met,"March Semi-Annual",2016-04-07,n,2016-08-22,13:28:26
026-000001501,37,"	026","National Aeronautics and Space Administration","NASA Earth Observing System Data Information System (EOSDIS)",1366,"	60753","Ratio of distributed volume to archive volume",Number,"1 - Customer Satisfaction (Results)",2.5,,,"Over target",Semi-Annual,,132553,,4.52,,Met,"March actual result",2015-03-31,n,2016-08-22,13:28:26
026-000001501,37,"	026","National Aeronautics and Space Administration","NASA Earth Observing System Data Information System (EOSDIS)",23703,,"Number of products distributed (files)",Count,"2 - Strategic and Business Results",40000000,,70000000,"Over target",Monthly,"3340 - Understand our home planet.",171266,,159327169,,Met,"July actuals",2016-08-11,n,2016-08-22,13:28:26
026-000001501,37,"	026","National Aeronautics and Space Administration","NASA Earth Observing System Data Information System (EOSDIS)",23704,,"Ratio of distribution volume to archive vol.",Number,"2 - Strategic and Business Results",2.5,,2.6,"Over target",Semi-Annual,,171264,,4.28,,Met,"March Semi-Annual",2016-04-07,n,2016-08-22,13:28:26
026-000005020,39,"	026","National Aeronautics and Space Administration","JSC CA Mission Control Center Systems (MCCS)",1278,"	61490","Design Review & Analysis.  Customers submit requests for modifications via Support Requests (SR).  SRs are assigned to systems engineers who complete design reviews and analyze initial cost impact.   Reviews and analysis of approved modifications should be completed within 8 weeks.  This metric represents how frequently this is achieved.  It is calculated by dividing the number of SRs meeting the criteria by the total number of SRs received.",Percent,"3 - Financial Performance",95,0,95,"Over target",Quarterly,,168383,,100,,Met,"May 2016 Data
",2016-07-02,n,2016-07-18,14:17:38
026-000005020,39,"	026","National Aeronautics and Space Administration","JSC CA Mission Control Center Systems (MCCS)",6527,"	65581","Availability of Critical Functions.  This metric measures MCCS critical services availability.  This metric is calculated by dividing the amount of operational time by the total time during the period, less scheduled outages.",Percent,"2 - Strategic and Business Results",99.5,,99.5,"Over target",Quarterly,"3336 - Provide secure, effective and affordable IT for NASA.",168386,,99.76,,Met,,2016-07-02,n,2016-07-18,14:17:38
026-000005020,39,"	026","National Aeronautics and Space Administration","JSC CA Mission Control Center Systems (MCCS)",6529,"	65521","Delivery of Non-Flight P1 SRs. Customers submit service requests via an SR. The performing org reviews available resources and assigns a target date for completion. This completion date is called Release to Operations (RTO). This metric represents the percentage of high priority SRs (Non-Flight related, Priority 1) completed within 7 days of the RTO date. It is calculated by dividing the number of SR deliveries meeting the specified date by the total number of SR deliveries made.",Percent,"1 - Customer Satisfaction (Results)",95,,95,"Over target",Quarterly,,168380,,100,,Met,"May 2016 Data
",2016-07-02,n,2016-07-18,14:17:38
026-000005020,39,"	026","National Aeronautics and Space Administration","JSC CA Mission Control Center Systems (MCCS)",6531,"	65583","CY13/BY14 Availability of Non-Critical Functions.  This metric measures MCCS non-critical ground services availability.  This metric is calculated by dividing the amount of operational time by the total time during the period, less scheduled outages.",Percent,"1 - Customer Satisfaction (Results)",98,,,"Over target",Monthly,,143145,,99.86,,Met,,2015-07-22,n,2016-07-18,14:17:38
026-000005020,39,"	026","National Aeronautics and Space Administration","JSC CA Mission Control Center Systems (MCCS)",7293,,"Anomaly Density   Mature Software.  Software errors are reported via anomaly reports (ARs).  Anomaly density is calculated by dividing the number of outstanding ARs by the number of executable lines of software code (1 AR per 5 thousand lines of code = .200).",Percent,"1 - Customer Satisfaction (Results)",0.2,,0.2,"Under target",Quarterly,,168381,,0.06,,Met,,2016-07-02,n,2016-07-18,14:17:38
026-000005020,39,"	026","National Aeronautics and Space Administration","JSC CA Mission Control Center Systems (MCCS)",9945,,"Delivery of Flight P1 SRs.  Customers submit service requests via an SR.  The performing org reviews available resources and assigns a target date for completion.  This completion date is called Release to Operations (RTO).  This metric represents the percentage of highest priority SRs (Flight-related, Priority 1) completed on or before the RTO date.  It is calculated by dividing the number of SR deliveries meeting the specified date by the total number of SR deliveries made.",Percent,"1 - Customer Satisfaction (Results)",100,,100,"Over target",Quarterly,,150583,,100,,Met,,2015-10-19,n,2016-07-18,14:17:38
026-000005020,39,"	026","National Aeronautics and Space Administration","JSC CA Mission Control Center Systems (MCCS)",9947,,"Anomaly Density   Not Mature Software.  Software errors are reported via anomaly reports (ARs).  Anomaly density is calculated by dividing the number of outstanding ARs by the number of executable lines of software code (1 AR per 1 thousand lines of code = 1.000).",Percent,"1 - Customer Satisfaction (Results)",1,,1,"Over target",Monthly,,168385,,0.08,,"Not Met","May 2016 Data",2016-07-02,n,2016-07-18,14:17:38
026-000005020,39,"	026","National Aeronautics and Space Administration","JSC CA Mission Control Center Systems (MCCS)",23727,,"Delivery of Flight Priority 1 SRs.  Customers submit service requests via an SR.  The performing org reviews available resources and assigns a target date for completion.  This completion date is called Release to Operations (RTO).  This metric represents the percentage of highest priority SRs (Flight-related, Priority 1) completed on or before the RTO date.  It is calculated by dividing the number of SR deliveries meeting the specified date by the total number of SR deliveries made.",Percent,"2 - Strategic and Business Results",100,0,100,"Over target",Quarterly,,168382,,100,,Met,"May 2016 Data
",2016-07-02,n,2016-07-18,14:17:38
