"Unique Investment Identifier","Business Case ID","Agency Code","Agency Name","Investment Title","Legislative Mandate Required","Legislative Mandate Description","Audit Finding Resolution Required","Audit Finding Resolution Description","Published Agency Strategic Performance Plan Required","Published Agency Strategic Performance Plan Description","Presidential Priority Required","Presidential Priority Description","Other Requirement Required","Other Requirement Description","Updated Date","Updated Time"
025-000004580,856,"	025","Department of Housing and Urban Development","Next Generation Management System",yes,"CONSOLIDATED APPROPRIATIONS ACT, 2010 - Public Law 111-117 [[Page 123 STAT. 3094]] - The amounts made available in this Act under the Transformation Initiative states that the Provided, That of the amounts made available under this paragraph, not less than $80,000,000 and not more than $180,000,000 shall be available for information technology modernization, including development and deployment of a Next Generation of Voucher Management System and development and deployment of modernized Federal Housing Administration systems [[Page 123 STAT. 3077]] - This Act states That notwithstanding any other provision of law, from amounts provided under this paragraph and any carryover, the Secretary for the calendar year 2010 funding cycle shall provide renewal funding for each public housing agency based on Voucher Management System (VMS) leasing and cost data for the most recent Federal fiscal year and by applying the most recent Annual Adjustment Factor as established by the Secretary.",yes,"OIG Audit 2012-FO-0003, Significant Deficiencies: (i)HUD Needs to Improve its Processes for Reviewing Obligation Balances, (ii). HUD needs to continued Improvements Over the Oversight and Monitoring of Subsidy Calculations,  GAO-01-103 10/16/2000 Internal Control Weaknesses GAO-08-199T &amp; GAO 06-57:HUD Should Streamline Its Processes to Ensure Timely Housing Assistance Payments and Project-Based Rental Assistance GAO-03-103: Major Management Challenges and Program Risks, HUD - Performance and Accountability Series (January 2003) GAO-05-224: HUD RENTAL ASSISTANCE Progress and Challenges in Measuring and Reducing Improper Rent Subsidies (February 2005) GAO-01-103 October 16, 2000 HUD and FHA Must Continue to Address Resource Management Issues Audit Reports: 2008-AT-0003 (5/14/08) Housing Quality Standards Non-compliance.",yes,"NGMS directly supports Goal 2: Meet the need for quality, affordable rental homes [P43025052], and the Information Management and Financial Management Management Objectives of HUD s FY14-18 Strategic Plan. Among others, HUD s Strategic Goals require HUD to develop better data collection tools to allow HUD to analyze data more efficiently and effectively to guide policy decision in order to house more families and improve the quality of HUD housing stock. NGMS will allow HUD to automate business processes to improve the way HUD collects, analyzes and uses information to both reduce the PHA reporting burden as well as allowing HUD staff to more effectively utilize data in everyday decision making to make informed, timely decisions about the quality and affordability of rental housing while also reducing staff time spent gathering data from multiple systems to allow more efficient and effective data analysis.",yes,"E.O. 13520 Reducing Improper Payments, now (IPERA) (P.L. 111-204). The goal of IPERA is to reduce improper payments associated with government programs. The legislation establishes significant reporting and tracking requirements. Only a portion of the recoveries are tracked through HUD accounting systems. Many of the improper payments identified by OIG, field management etc for PIH programs are  paid back to the program from non-program funds.  To track these recoveries and provide the associate IPERA reporting a control system needs to be established. Although the process has yet to be established NGMS will be a valuable tool.Memorandum, Enhancing Payment Accuracy Through a   Do Not Pay List  : This Presidential Memorandum directs agencies to prevent payment errors before they occur, in tandem with IPERA. Agencies are expected to reform or update pre-payment processes to prevent waste, fraud, and abuse. NGMS financial management solutions will work to prevent many of these errors.",no,,2014-09-12,16:15:32
011-000002501,858,"	011","Department of Justice","FBI Combined DNA Index System (CODIS)",yes,"In 1994, the DNA Identification Act formalized the FBI's authority to establish a National DNA Index System (NDIS) for law enforcement purposes. NDIS' purpose is to allow for the interstate comparison of DNA profiles at a National level. The DNA Analysis Backlog Elimination Act of 2000, the USA PATRIOT Act of 2001, the Justice for All Act of 2004, the DNA Fingerprint Act of 2005 and the Adam Walsh Child Protection and Safety Act of 2006 have impacted requirements for CODIS' system performance.  More recent expansions have come through passage of the Sexual Assault Forensic Evidence Reporting (SAFER) Act of 2013, and the Debbie Smith Reauthorization Act of 2014.  In addition, over 30 states have passed arrestee legislation which impact NDIS searches and performance. Legislative requirements translate into system and software performance requirements for CODIS.",no,,yes,"CODIS directly supports DOJ Goal 2 - Preventing Crime, Enforce Federal Laws, and Represent the Rights and Interests of the People.  Additionally CODIS supports FBI Strategic Management Goals to provide timely, relevant and accurate forensic science intelligence products in support of Customer Expectations (FBI SMS goal A1), and to formalize and expand lab wide forensic intelligence capability (internal processes, FBI SMS P7).",no,,yes,"State and local emergent requirements develop as CODIS 7.0 is used in the operational field. Scientific Working Groups regulate DNA standards that impact the software requirements. Additionally, technical obsolescence of the CODIS and NDIS hardware require technical replacement approximately every three years.",2015-04-20,14:43:25
010-000000355,862,"	010","Department of the Interior","DOI - Infrastructure - Security Management",no,,no,,no,,yes,"1.Homeland Security Presidential Directive 12 (HSPD-12), Policy for a Common Identification Standard for Federal Employees and Contractors; 2.Presidential Memorandum M-05-24, Implementation of Homeland Security Presidential Directive (HSPD)12 Policy for a Common Identification Standard for FederalEmployees and Contractors 3.Presidential Memorandum M-11-11, Continued Implementation of Homeland Security Presidential Directive (HSPD) 12 Policy for a Common Identification Standard for Federal Employees and Contractors.",yes,"1.DOI Secretary Order 3309. 2.DOI Personnel Bulletin 09-06 3.Federal Information Processing Standards Publication 201, Personal Identity Verification (PIV) of Federal Employees and Contractors.",2012-09-14,08:58:18
010-000000330,864,"	010","Department of the Interior","DOI - Infrastructure - End User Support",no,,no,,no,,no,,yes,"DOI Secretarial Order 3309.",2012-09-13,10:24:16
010-000000338,865,"	010","Department of the Interior","DOI - Infrastructure - IT Infrastructure Management Enabling Capabilities",no,,no,,no,,no,,yes,"DOI Secretary Order 3309.",2012-09-12,14:52:31
010-000000357,866,"	010","Department of the Interior","DOI - Infrastructure - Telecommunications",no,,no,,no,,no,,yes,"DOI Secretary Order 3309.",2012-09-12,14:52:53
010-000000342,868,"	010","Department of the Interior","DOI - Infrastructure - Mainframe / Server Support",no,,no,,no,,no,,yes,"DOI Secretary Order 3309.",2012-09-12,14:52:40
018-000002370,873,"	018","Department of Education","Aid Data Mart (ADM)",no,,no,,no,,no,,yes,"Ability to access and aggregate summary and detail data to support program management and oversight activities. The technical infrastructure is designed using business intelligence tools and resides on a modernized platform for efficient  loading, access, aggregation and reporting of data.",2013-09-11,09:29:11
018-000003117,884,"	018","Department of Education","eCampus Based System",yes,"Higher Education Act of 1965, as amended. The Higher Education Opportunity Act (Public Law 110-315) (HEOA) was enacted on August 14, 2008, and reauthorizes the Higher Education Act of 1965, as amended (HEA). The regulations for the Campus-Based Programs are found in Title 34 of the Code of Regulations, under the following sections: 668 - STUDENT ASSISTANCE GENERAL PROVISIONS, and 673 through 676.",no,,no,"Not Applicable.",no,"Not Applicable.",no,"Not Applicable.",2012-10-30,11:54:19
028-000008007,888,"	028","Small Business Administration","OII: Small Business Innovative Research (SBIR)",yes,"The requirements for this system date back to the 2000 reauthorization legislation, as well as the more recent 2011 reauthorization giving the SBIR/STTR program a long-term reauthorization.",yes,"In several GAO audits, this investment has been cited for fulfilling ongoing needs of the SBIR/STTR program.",yes,"The performance metrics handled and collected by this investment are a High Priority Performance Goal for the SBA.",no,,yes,"SBIR and STTR Policy Directives 77FR46806; 77FR46855; 77FR63410; 77FR76215.",2013-09-13,11:42:30
