Unique_Investment_Identifier,Investment_type,Sub-Function,Business_Function,Business_Area,Service_Component,Service,Service_Area,Architecture_code,Enhancement_spend_$m
009-000282161,Non Major,247-Health Care Administration,110-Health,1-Services for Citizens,664-Query,763-Search,7-Service Types and Components,404,0.0
009-000282181,Non Major,247-Health Care Administration,110-Health,1-Services for Citizens,540-Quality Management,721-Management of Process,7-Service Types and Components,0,0.0
009-000282201,Non Major,247-Health Care Administration,110-Health,1-Services for Citizens,540-Quality Management,721-Management of Process,7-Service Types and Components,0,0.0
009-000282241,Non Major,129-Reporting and Information,402-Financial Management,4-Management of Government Resources,625-Payment / Settlement,753-Financial Management,7-Service Types and Components,500,0.21
009-000282281,Non Major,093-Program Monitoring,301-Controls and Oversight,3-Support Delivery of Services to Citizens,539-Governance / Policy Management,721-Management of Process,7-Service Types and Components,0,2.8
009-000282283,Non Major,247-Health Care Administration,110-Health,1-Services for Citizens,601-Data Exchange,751-Data Management,7-Service Types and Components,404,0.0
009-000282284,Non Major,093-Program Monitoring,301-Controls and Oversight,3-Support Delivery of Services to Citizens,538-Program / Project Management,721-Management of Process,7-Service Types and Components,0,0.0
009-000282322,Major,247-Health Care Administration,110-Health,1-Services for Citizens,540-Quality Management,721-Management of Process,7-Service Types and Components,0,16.557
009-000282329,Non Major,008-Disaster Preparedness and Planning,104-Disaster Management,1-Services for Citizens,661-Document Library,762-Collaboration,7-Service Types and Components,410,0.2
009-000282437,Non Major,095-Continuity of Operations,302-Internal Risk Management and Mitigation,3-Support Delivery of Services to Citizens,544-Network Management,722-Organizational Management,7-Service Types and Components,0,0.0
009-000282452,Non Major,008-Disaster Preparedness and Planning,104-Disaster Management,1-Services for Citizens,625-Payment / Settlement,753-Financial Management,7-Service Types and Components,500,1.7
009-000282573,Non Major,008-Disaster Preparedness and Planning,104-Disaster Management,1-Services for Citizens,664-Query,763-Search,7-Service Types and Components,0,0.0
009-000282577,Non Major,008-Disaster Preparedness and Planning,104-Disaster Management,1-Services for Citizens,583-Mathematical,741-Analysis and Statistics,7-Service Types and Components,0,0.0
009-000282596,Non Major,109-Official Information Dissemination,305-Public Affairs,3-Support Delivery of Services to Citizens,573-Information Sharing,733-Knowledge Management,7-Service Types and Components,200,0.187
009-000283632,Non Major,139-IT Infrastructure Maintenance,404-Information and Technology Management,4-Management of Government Resources,544-Network Management,722-Organizational Management,7-Service Types and Components,100,0.0
