Unique_Investment_Identifier,Investment_type,Sub-Function,Business_Function,Business_Area,Service_Component,Service,Service_Area,Architecture_code,Enhancement_spend_$m
005-000002202,Non Major,117-User Fee Collection,307-Revenue Collection,3-Support Delivery of Services to Citizens,630-Activity-Based Management,753-Financial Management,7-Service Types and Components,500,0.0
005-000009600,Non Major,121-Security Management,401-Administrative Management,4-Management of Government Resources,649-Access Control,761-Security Management,7-Service Types and Components,170,0.0
005-000001540,Non Major,"057-Conservation, Marine and Land Management",117-Natural Resources,1-Services for Citizens,544-Network Management,722-Organizational Management,7-Service Types and Components,220,0.0
005-000001496,Major,101-Budget Formulation,304-Planning and Budgeting,3-Support Delivery of Services to Citizens,545-Strategic Planning and Management,723-Investment Management,7-Service Types and Components,500,0.0
005-000001870,Major,014-Industry Sector Income Stabilization,105-Economic Development,1-Services for Citizens,538-Program / Project Management,721-Management of Process,7-Service Types and Components,150,112.42114299999999
005-000001518,Non Major,"057-Conservation, Marine and Land Management",117-Natural Resources,1-Services for Citizens,544-Network Management,722-Organizational Management,7-Service Types and Components,0,0.0
005-000002231,Non Major,177-Executive Functions,315-General Government,3-Support Delivery of Services to Citizens,643-Skills Management,756-Human Capital / Workforce Management,7-Service Types and Components,0,0.0
005-000001838,Non Major,177-Executive Functions,315-General Government,3-Support Delivery of Services to Citizens,603-Data Warehouse,751-Data Management,7-Service Types and Components,220,0.0
005-000002193,Non Major,007-Disaster Monitoring and Prediction,104-Disaster Management,1-Services for Citizens,597-Decision Support and Planning,744-Business Intelligence,7-Service Types and Components,0,0.0
005-999992354,Non Major,101-Budget Formulation,304-Planning and Budgeting,3-Support Delivery of Services to Citizens,630-Activity-Based Management,753-Financial Management,7-Service Types and Components,510,0.15
005-000000054,Major,142-Information Management,404-Information and Technology Management,4-Management of Government Resources,590-Mapping / Geospatial / Elevation / GPS,742-Visualization,7-Service Types and Components,310,0.475876
005-000002189,Non Major,106-Workforce Planning,304-Planning and Budgeting,3-Support Delivery of Services to Citizens,643-Skills Management,756-Human Capital / Workforce Management,7-Service Types and Components,550,0.0
005-000000137,Non Major,246-Population Health Management and Consumer Safety,110-Health,1-Services for Citizens,600-OLAP,745-Reporting,7-Service Types and Components,410,0.0
005-000002302,Non Major,139-IT Infrastructure Maintenance,404-Information and Technology Management,4-Management of Government Resources,678-System Resource Monitoring,765-Systems Management,7-Service Types and Components,100,0.042
005-000000123,Non Major,246-Population Health Management and Consumer Safety,110-Health,1-Services for Citizens,600-OLAP,745-Reporting,7-Service Types and Components,410,0.0
005-000001427,Non Major,042-International Development and Humanitarian Aid,114-International Affairs and Commerce,1-Services for Citizens,639-Data Integration,755-Development and Integration,7-Service Types and Components,150,0.0
005-000000091,Non Major,107-Management Improvement,304-Planning and Budgeting,3-Support Delivery of Services to Citizens,544-Network Management,722-Organizational Management,7-Service Types and Components,0,0.0
005-000001605,Non Major,011-Business and Industry Development,105-Economic Development,1-Services for Citizens,537-Requirements Management,721-Management of Process,7-Service Types and Components,200,1.46825
005-000001575,Non Major,007-Disaster Monitoring and Prediction,104-Disaster Management,1-Services for Citizens,544-Network Management,722-Organizational Management,7-Service Types and Components,220,0.0
005-000000095,Non Major,129-Reporting and Information,402-Financial Management,4-Management of Government Resources,639-Data Integration,755-Development and Integration,7-Service Types and Components,510,0.037
005-000002382,Non Major,"057-Conservation, Marine and Land Management",117-Natural Resources,1-Services for Citizens,544-Network Management,722-Organizational Management,7-Service Types and Components,150,1.091496
005-000000060,Non Major,093-Program Monitoring,301-Controls and Oversight,3-Support Delivery of Services to Citizens,592-Data Mining,743-Knowledge Discovery,7-Service Types and Components,220,0.0
005-999991300,Funding Contribution,129-Reporting and Information,402-Financial Management,4-Management of Government Resources,630-Activity-Based Management,753-Financial Management,7-Service Types and Components,510,0.0
005-000002295,Non Major,139-IT Infrastructure Maintenance,404-Information and Technology Management,4-Management of Government Resources,636-Computers / Automation Management,754-Asset / Materials Management,7-Service Types and Components,100,0.0
005-000001742,Major,142-Information Management,404-Information and Technology Management,4-Management of Government Resources,641-Software Development,755-Development and Integration,7-Service Types and Components,150,8.566385
005-000000255,Non Major,091-Corrective Action,301-Controls and Oversight,3-Support Delivery of Services to Citizens,539-Governance / Policy Management,721-Management of Process,7-Service Types and Components,200,0.0
005-000002191,Non Major,246-Population Health Management and Consumer Safety,110-Health,1-Services for Citizens,590-Mapping / Geospatial / Elevation / GPS,742-Visualization,7-Service Types and Components,310,0.0
005-999993100,Funding Contribution,262-Information Sharing,404-Information and Technology Management,4-Management of Government Resources,597-Decision Support and Planning,744-Business Intelligence,7-Service Types and Components,310,0.0
005-000002342,Non Major,142-Information Management,404-Information and Technology Management,4-Management of Government Resources,544-Network Management,722-Organizational Management,7-Service Types and Components,0,2.55
005-000002340,Major,262-Information Sharing,404-Information and Technology Management,4-Management of Government Resources,603-Data Warehouse,751-Data Management,7-Service Types and Components,220,4.543
005-000002198,Non Major,109-Official Information Dissemination,305-Public Affairs,3-Support Delivery of Services to Citizens,531-Case Management,711-Tracking and Workflow,7-Service Types and Components,220,0.0
005-000002297,Non Major,104-Strategic Planning,304-Planning and Budgeting,3-Support Delivery of Services to Citizens,539-Governance / Policy Management,721-Management of Process,7-Service Types and Components,150,0.0
005-000002167,Non Major,"057-Conservation, Marine and Land Management",117-Natural Resources,1-Services for Citizens,544-Network Management,722-Organizational Management,7-Service Types and Components,220,0.393
005-000002850,Non Major,042-International Development and Humanitarian Aid,114-International Affairs and Commerce,1-Services for Citizens,639-Data Integration,755-Development and Integration,7-Service Types and Components,310,0.351
005-000002296,Non Major,139-IT Infrastructure Maintenance,404-Information and Technology Management,4-Management of Government Resources,636-Computers / Automation Management,754-Asset / Materials Management,7-Service Types and Components,100,0.0
005-000001805,Non Major,010-Emergency Response,104-Disaster Management,1-Services for Citizens,544-Network Management,722-Organizational Management,7-Service Types and Components,220,2.2386
005-000000018,Major,143-Goods Acquisition,405-Supply Chain Management,4-Management of Government Resources,557-Logistics and Transportation,724-Supply Chain Management,7-Service Types and Components,640,0.0
005-000001231,Major,014-Industry Sector Income Stabilization,105-Economic Development,1-Services for Citizens,530-Process Tracking,711-Tracking and Workflow,7-Service Types and Components,0,2.849504
