"Unique Investment Identifier","Business Case ID","Investment Type","Infrastructure Management Category","Agency Code","Agency Name","Investment Title","Performance Metric ID","Agency Performance Metric ID","Metric Description","Unit of Measure","Performance Measurement Category Mapping","Agency Baseline Capability","Target 2018 PY","Target 2019 CY","Measurement Condition","Reporting Frequency","Agency Strategic Objective / Agency Priority Goal","Latest Performance Metric Actual Id","Latest Agency Performance Metric Actual Id","Latest Actual Result","Latest Actual Result Comment","Latest Actual Result Date","Is Closed?","Metric Updated Date","Metric Updated Time"
007-000000186,16,"01 - Major IT","01 - Not Applicable","	007","Department of Defense","Navy Enterprise Resource Planning",26887,OP0186-4113,"Mean Time To Recover (MTTR)","Time: Hours","2 - Strategic and Business Results",0.000000,8.000000,8.000000,"Under target",Quarterly,"007SO18273 - Improve and strengthen business operations through a move to DoD-enterprise or shared services; reduce administrative and regulatory burden",,,,,,n,2018-10-30,18:32:34
007-000000186,16,"01 - Major IT","01 - Not Applicable","	007","Department of Defense","Navy Enterprise Resource Planning",26888,OP0186-4114,"Operation Failure Detection Rate (OFDR)",Percentage,"2 - Strategic and Business Results",0.000000,85.000000,85.000000,"Over target",Quarterly,"007SO18273 - Improve and strengthen business operations through a move to DoD-enterprise or shared services; reduce administrative and regulatory burden",,,,,,n,2018-10-30,18:32:34
007-000000186,16,"01 - Major IT","01 - Not Applicable","	007","Department of Defense","Navy Enterprise Resource Planning",26889,OP0186-4115,"Mean Data Assurance (MDA)",Percentage,"2 - Strategic and Business Results",0.000000,99.980000,99.980000,"Over target",Quarterly,"007SO18273 - Improve and strengthen business operations through a move to DoD-enterprise or shared services; reduce administrative and regulatory burden",,,,,,n,2018-10-30,18:32:34
007-000000186,16,"01 - Major IT","01 - Not Applicable","	007","Department of Defense","Navy Enterprise Resource Planning",26890,OP0186-4116,"Percent of Help Desk Service Level Targets (SLT) met",Percentage,"1 - Customer Satisfaction (Process Results)",0.000000,90.000000,90.000000,"Over target",Quarterly,"007SO18273 - Improve and strengthen business operations through a move to DoD-enterprise or shared services; reduce administrative and regulatory burden",,,,,,n,2019-03-14,21:48:47
007-000000186,16,"01 - Major IT","01 - Not Applicable","	007","Department of Defense","Navy Enterprise Resource Planning",26891,OP0186-4117,"Help Desk Survey Results","Points achieved (out of 5 possible) ","1 - Customer Satisfaction (Process Results)",0.000000,3.000000,3.000000,"Over target",Semi-Annual,"007SO18273 - Improve and strengthen business operations through a move to DoD-enterprise or shared services; reduce administrative and regulatory burden",,,,,,n,2019-03-14,21:48:47
007-000000186,16,"01 - Major IT","01 - Not Applicable","	007","Department of Defense","Navy Enterprise Resource Planning",26892,OP0186-4118,"Overall Key User Transaction Response Time","Time: Seconds","2 - Strategic and Business Results",0.000000,10.000000,10.000000,"Under target",Quarterly,"007SO18273 - Improve and strengthen business operations through a move to DoD-enterprise or shared services; reduce administrative and regulatory burden",,,,,,n,2018-10-30,18:32:34
007-000000186,16,"01 - Major IT","01 - Not Applicable","	007","Department of Defense","Navy Enterprise Resource Planning",26893,OP0186-4119,"TIER 1 CUSTOMER WAIT TIME","Time: seconds","1 - Customer Satisfaction (Process Results)",0.000000,90.000000,90.000000,"Under target",Monthly,"007SO18273 - Improve and strengthen business operations through a move to DoD-enterprise or shared services; reduce administrative and regulatory burden",,,,,,n,2019-03-14,21:48:47
007-000000186,16,"01 - Major IT","01 - Not Applicable","	007","Department of Defense","Navy Enterprise Resource Planning",26894,OP0186-4120,"Meet OSD Obligation Annual Benchmarks (OMN)",Percentage,"3 - Financial Performance",0.000000,100.000000,100.000000,"Over target",Annual,"007SO18273 - Improve and strengthen business operations through a move to DoD-enterprise or shared services; reduce administrative and regulatory burden",,,,,,n,2019-03-14,21:48:47
007-000000314,19,"01 - Major IT","01 - Not Applicable","	007","Department of Defense","General Fund Enterprise Business System",26944,OP0314-4106,"Measure the percent of functional benefits realized to the Army with the realization of the GFEBS system and the phasing of antiquated legacy financial systems.",Percent,"2 - Strategic and Business Results",0.000000,55.000000,55.000000,"Over target",Semi-Annual,"007SO18275 - Undergo audit, and improve the quality of budgetary and financial information that is most valuable in managing the DoD",,,,,,n,2019-03-26,17:35:06
007-000000314,19,"01 - Major IT","01 - Not Applicable","	007","Department of Defense","General Fund Enterprise Business System",26945,OP0314-4107,"Percentage of GFEBS compliance with Federal Financial Management Improvement Act (FFMIA) requirements. (Based on Army Audit Agency (AAA) report requirements)",Percent,"2 - Strategic and Business Results",0.000000,99.800000,99.800000,"Over target",Monthly,"007SO18275 - Undergo audit, and improve the quality of budgetary and financial information that is most valuable in managing the DoD",,,,,,n,2019-03-26,17:35:06
007-000000314,19,"01 - Major IT","01 - Not Applicable","	007","Department of Defense","General Fund Enterprise Business System",26946,OP0314-4108,"Percentage of application availability to end user",Percent,"3 - Financial Performance",0.000000,99.800000,99.800000,"Over target",Monthly,"007SO18275 - Undergo audit, and improve the quality of budgetary and financial information that is most valuable in managing the DoD",,,,,,n,2019-03-26,17:35:06
007-000000314,19,"01 - Major IT","01 - Not Applicable","	007","Department of Defense","General Fund Enterprise Business System",26947,OP0314-4109,"Speed of system response to execute a transaction below 15 seconds",Percent,"1 - Customer Satisfaction (Process Results)",0.000000,99.800000,99.800000,"Over target",Quarterly,"007SO18275 - Undergo audit, and improve the quality of budgetary and financial information that is most valuable in managing the DoD",,,,,,n,2019-03-26,17:35:06
007-000000314,19,"01 - Major IT","01 - Not Applicable","	007","Department of Defense","General Fund Enterprise Business System",26948,OP0314-4110,"Mean time to repair for system critical outages (in hours)",Hours,"2 - Strategic and Business Results",0.000000,3.000000,3.000000,"Over target",Quarterly,"007SO18275 - Undergo audit, and improve the quality of budgetary and financial information that is most valuable in managing the DoD",,,,,,n,2018-10-30,18:32:35
007-000000613,28,"01 - Major IT","01 - Not Applicable","	007","Department of Defense","Defense Medical Logistics Standard Support",5151,OP0613-4104,"Percentage of System Uptime for DMLSS",Percentage,"2 - Strategic and Business Results",0.000000,98.500000,98.500000,"Over target",Monthly,"007SO18266 - Restore Military Readiness to Build a More Lethal Force",189077,OP0613-4104-156,99.310000,,2017-04-30,n,2018-10-30,18:32:40
007-000000613,28,"01 - Major IT","01 - Not Applicable","	007","Department of Defense","Defense Medical Logistics Standard Support",5153,OP0613-4105,"Percentage of System Uptime for Online Portal Medical Materiel Directorate. (DMM online)  ",Percentage,"2 - Strategic and Business Results",0.000000,98.500000,98.500000,"Over target",Monthly,"007SO18266 - Restore Military Readiness to Build a More Lethal Force",189088,OP0613-4105-156,99.860000,,2017-04-30,n,2018-10-30,18:32:40
007-000000613,28,"01 - Major IT","01 - Not Applicable","	007","Department of Defense","Defense Medical Logistics Standard Support",5155,OP0613-4101,"Annual return Ration = price discounts of medical purchases made via electronic commerce / total annual DMLSS program funding for sustainment

Increase the annual return ration 2% per year over baseline to ratio of 5.39:1.","Numeric ratio","3 - Financial Performance",,,,"Over target",Annual,,153210,OP0613-4101-105,5.260000,"Decreasing OPTEMPO results in decreasing Medical Materiel purchases.",2015-09-30,n,2017-11-07,15:50:51
007-000000613,28,"01 - Major IT","01 - Not Applicable","	007","Department of Defense","Defense Medical Logistics Standard Support",6967,OP0613-411,"Average percentage of data from external sources processed within 24 hours for use by JMAR users.

",Percentage,"2 - Strategic and Business Results",0.000000,90.000000,90.000000,"Over target",Quarterly,"007SO18266 - Restore Military Readiness to Build a More Lethal Force",189092,OP0613-411-118,100.000000,,2017-03-31,n,2018-10-30,18:32:40
007-000000613,28,"01 - Major IT","01 - Not Applicable","	007","Department of Defense","Defense Medical Logistics Standard Support",9569,OP0613-5001,"Percentage of returned trainee questionnaires that reported web-based training met or exceeded expectations. ",Percentage,"1 - Customer Satisfaction (Process Results)",0.000000,75.000000,75.000000,"Over target",Annual,"007SO18266 - Restore Military Readiness to Build a More Lethal Force",189068,OP0613-5001-104,84.000000,,2016-09-30,n,2019-01-25,19:01:22
007-000000613,28,"01 - Major IT","01 - Not Applicable","	007","Department of Defense","Defense Medical Logistics Standard Support",22347,OP0613-5002,"The Percent of dollar value of Wholesale transactions that used the preferred transaction method divided by the total dollar value of transactions.",Percent,"2 - Strategic and Business Results",,,,"Over target",Annual,,189067,OP0613-5002-102,94.000000,,2016-09-30,n,2017-11-07,15:50:51
007-000000613,28,"01 - Major IT","01 - Not Applicable","	007","Department of Defense","Defense Medical Logistics Standard Support",25991,OP0613-5003,"Use of eCommerce =
Total  dollar value of medical-surgical supply expendable/durable items  that are available via eCommerce (Prime Vendor (PV)/ Electronic Catalog (ECAT) {Medical Materiel Catalog (MMC)=Yes} divided by the total dollar value of all eCommerce eligible MHS medical-surgical supply expendable/durable purchases (MMC Yes + MMC No) x 100 to derive percentage

",Percentage,"3 - Financial Performance",0.000000,85.000000,85.000000,"Over target",Quarterly,"007SO18266 - Restore Military Readiness to Build a More Lethal Force",189064,OP0613-5003-102,74.000000,,2017-03-31,n,2019-01-25,19:01:22
007-000000613,28,"01 - Major IT","01 - Not Applicable","	007","Department of Defense","Defense Medical Logistics Standard Support",25992,OP0613-5004,"Modified Perfect Order Fulfilment (Prime Vendor (PV) Accommodation Rate) (Medical/Surgical orders only)
Total lines of Medical/Surgical Prime Vendor orders meeting the 30 day “cradle to grave” processing standard / total lines of Medical/Surgical prime Vendor orders x 100 to derive percentage met.	",Percentage,"2 - Strategic and Business Results",0.000000,90.000000,90.000000,"Over target",Quarterly,"007SO18266 - Restore Military Readiness to Build a More Lethal Force",189066,OP0613-5004-102,91.000000,,2017-03-31,n,2018-10-30,18:32:40
026-000001501,37,"01 - Major IT","01 - Not Applicable","	026","National Aeronautics and Space Administration","NASA Earth Observing System Data Information System (EOSDIS)",1362,"	60752","EOSDIS average American Customer Satisfaction Index (ACSI) score",Index,"1 - Customer Satisfaction (Process Results)",,64.000000,69.000000,"Over target",Annual,"026SO18153 - Understand the Sun, Earth, Solar System, and Universe.",238890,,79.000000,"Final report in December, 2018.",2019-03-03,n,2018-09-20,15:40:36
026-000001501,37,"01 - Major IT","01 - Not Applicable","	026","National Aeronautics and Space Administration","NASA Earth Observing System Data Information System (EOSDIS)",1363,"	60755","Number of distinct products distributed in the FY",Count,"2 - Strategic and Business Results",,70000000.000000,80000000.000000,"Over target",Semi-Annual,"026SO18153 - Understand the Sun, Earth, Solar System, and Universe.",230636,,8435.000000,"March Semi-annual",2018-04-20,n,2018-09-20,15:40:36
026-000001501,37,"01 - Major IT","01 - Not Applicable","	026","National Aeronautics and Space Administration","NASA Earth Observing System Data Information System (EOSDIS)",1364,"	60754","Number of products distributed",Count,"1 - Customer Satisfaction (Process Results)",,,,"Over target",Monthly,,146949,,107856683.000000,"July 2015 actual.",2015-07-31,n,2017-11-07,15:50:51
026-000001501,37,"01 - Major IT","01 - Not Applicable","	026","National Aeronautics and Space Administration","NASA Earth Observing System Data Information System (EOSDIS)",1365,"	60756","Cost per Earth science data product (in the form of computer files) distributed to users","Dollar per product","3 - Financial Performance",,0.120000,0.120000,"Under target",Semi-Annual,"026SO18153 - Understand the Sun, Earth, Solar System, and Universe.",238891,,0.010000,Actual,2019-03-05,n,2018-09-20,15:40:36
026-000001501,37,"01 - Major IT","01 - Not Applicable","	026","National Aeronautics and Space Administration","NASA Earth Observing System Data Information System (EOSDIS)",1366,"	60753","Ratio of distributed volume to archive volume",Number,"1 - Customer Satisfaction (Process Results)",,,,"Over target",Semi-Annual,,132553,,4.520000,"March actual result",2015-03-31,n,2017-11-07,15:50:51
026-000001501,37,"01 - Major IT","01 - Not Applicable","	026","National Aeronautics and Space Administration","NASA Earth Observing System Data Information System (EOSDIS)",23703,,"Number of products distributed (files)",Count,"2 - Strategic and Business Results",,70000000.000000,80000000.000000,"Over target",Monthly,"026SO18153 - Understand the Sun, Earth, Solar System, and Universe.",238893,,157902855.000000,"January, 2019 actuals",2019-03-01,n,2018-09-20,15:40:36
026-000001501,37,"01 - Major IT","01 - Not Applicable","	026","National Aeronautics and Space Administration","NASA Earth Observing System Data Information System (EOSDIS)",23704,,"Ratio of distribution volume to archive vol.",Number,"2 - Strategic and Business Results",,1.200000,1.000000,"Over target",Semi-Annual,"026SO18153 - Understand the Sun, Earth, Solar System, and Universe.",230639,,3.470000,"March Semi-annual",2018-04-20,n,2018-09-20,15:40:36
009-000409885,1879,"01 - Major IT","01 - Not Applicable","	009","Department of Health and Human Services","CMS Encounter Data System Program",27352,"	420603","% of encounters accepted by the EDFES from submitters",%,"1 - Customer Satisfaction (Process Results)",,88.000000,88.000000,"Over target",Semi-Annual,,239747,420603-20190228,85.088000,,2019-02-28,,2018-09-14,19:56:27
